Type	Front	Back	Tags
Basic	What do input gate and candidate value control?	How much new information to add to cell state	chapter15::lstm
Cloze	Cell state update: C(t) = {{c1::(C(t-1) * f_t) + (i_t * C_tilde)}}		chapter15::lstm
Basic	What does the output gate control?	What parts of cell state to output to hidden state	chapter15::lstm
Cloze	LSTM hidden state: h(t) = {{c1::o_t * tanh(C(t))}}		chapter15::lstm
Basic	Was forget gate part of original LSTM?	No, added in 2000 by Gers, Schmidhuber, and Cummins	chapter15::lstm
Basic	What is GRU?	Simpler RNN (2014) with fewer parameters than LSTM, comparable performance	chapter15::gru
Cloze	{{c1::nn.LSTM}} creates LSTM layer in PyTorch		chapter15::pytorch-rnn
Cloze	{{c1::nn.GRU}} creates GRU layer in PyTorch		chapter15::pytorch-rnn
Cloze	{{c1::batch_first=True}} makes input shape (batch, seq_len, features)		chapter15::pytorch-rnn
Cloze	nn.LSTM returns output and tuple of ({{c1::hidden_state}}, {{c2::cell_state}})		chapter15::pytorch-rnn
Basic	What is nn.Embedding for?	Mapping tokens to dense vectors, learning meaningful representations	chapter15::embeddings
Cloze	Embedding matrix has dimensions {{c1::(vocab_size, embedding_dim)}}		chapter15::embeddings
Basic	What is one advantage of embeddings over one-hot encoding?	Reduces dimensionality	chapter15::embeddings
Basic	What is another advantage of embeddings?	Can learn meaningful representations during training	chapter15::embeddings
Cloze	{{c1::padding_idx}} specifies token that won't update gradients		chapter15::embeddings
Basic	Why use pack_padded_sequence?	Efficiently handle variable-length sequences without wasting computation on padding	chapter15::pytorch-rnn
Basic	What is a bidirectional RNN?	Processes sequences in both directions, capturing past and future context	chapter15::bidirectional-rnn
Cloze	{{c1::bidirectional=True}} makes layer process both directions		chapter15::bidirectional-rnn
Basic	How are bidirectional RNN outputs combined?	Usually concatenated, but can be summed, multiplied, or averaged	chapter15::bidirectional-rnn
Basic	What is character-level language modeling?	Predicting next character using memory of previously seen characters	chapter15::language-modeling
Basic	What is autoregression in text generation?	Each predicted character is fed back as input to predict the next	chapter15::language-modeling
Cloze	For multiclass language modeling, use {{c1::CrossEntropyLoss}}		chapter15::language-modeling
Cloze	For binary sentiment analysis, use {{c1::BCELoss}}		chapter15::sentiment-analysis
Basic	How do you control randomness in text generation?	Scale logits by factor alpha before sampling	chapter15::text-generation
Cloze	Hidden state dimension is specified by {{c1::hidden_size}} parameter		chapter15::pytorch-rnn
Cloze	Stack multiple RNN layers with {{c1::num_layers}} parameter		chapter15::pytorch-rnn
Basic	For many-to-one tasks, which hidden state is used?	Final hidden state from last time step	chapter15::sentiment-analysis
Cloze	Index 0 typically reserved for {{c1::padding tokens}}		chapter15::embeddings
Cloze	For bidirectional LSTM, FC layer input size should be {{c1::rnn_hidden_size * 2}}		chapter15::bidirectional-rnn
