Type	Front	Back	Tags
Basic	What determines step size in gradient descent?	Learning rate × gradient magnitude	chapter02::gradient-descent
Basic	What is batch gradient descent?	Update weights using ALL training examples	chapter02::gradient-descent
Basic	What if learning rate is too large?	Overshoots minimum, loss may increase	chapter02::learning-rate
Basic	What if learning rate is too small?	Very slow convergence	chapter02::learning-rate
Basic	What is feature standardization?	Transform to zero mean, unit variance	chapter02::standardization
Cloze	Standardization: x' = {{c1::(x - μ) / σ}}		chapter02::standardization
Basic	Why standardize features?	Similar scales help single learning rate work	chapter02::standardization
Basic	What is SGD?	Stochastic Gradient Descent	chapter02::sgd
Basic	How does SGD update weights?	After each individual example	chapter02::sgd
Basic	Name an advantage of SGD over batch.	Faster convergence, more frequent updates	chapter02::sgd
Basic	Another advantage of SGD?	Can escape shallow local minima	chapter02::sgd
Basic	Why shuffle data in SGD?	Prevents cycles in training	chapter02::sgd
Basic	What is online learning?	Training on-the-fly as new data arrives	chapter02::sgd
Basic	What is mini-batch gradient descent?	Update using small subsets (e.g., 32 examples)	chapter02::gradient-descent
Basic	Where does mini-batch fit between batch and SGD?	Compromise: more stable than SGD, faster than batch	chapter02::gradient-descent
Basic	What is an adaptive learning rate?	Learning rate that decreases during training	chapter02::sgd
Basic	What is One-versus-All (OvA)?	Train one classifier per class vs. rest	chapter02::classification
Cloze	OvA is also called {{c1::One-versus-Rest (OvR)}}		chapter02::classification
Basic	What is vectorization?	Replace loops with matrix operations	chapter02::implementation
Basic	Why use vectorization?	Much faster computation	chapter02::implementation
Basic	What does underscore suffix (w_) mean in sklearn?	Attribute set by fit(), not __init__	chapter02::implementation
Basic	What is an objective function?	Function to optimize during training	chapter02::training
Basic	How does Adaline make final predictions?	Threshold at 0.5 on activation output	chapter02::adaline
Basic	What does errors_ track in perceptron?	Misclassifications per epoch	chapter02::implementation
Basic	What does losses_ track in Adaline?	MSE loss per epoch	chapter02::implementation
Basic	What does partial_fit do?	Update weights without reinitializing	chapter02::sgd
Basic	Write code to compute net input.	z = np.dot(X, w) + b	chapter02::code
Basic	Write perceptron prediction code.	np.where(z >= 0, 1, 0)	chapter02::code
Basic	Write Adaline activation code.	return z  # identity function	chapter02::code
Basic	Write code to initialize weights randomly.	w = np.random.normal(0, 0.01, n_features)	chapter02::code
Basic	Write code to compute MSE loss.	loss = ((y - output) ** 2).mean()	chapter02::code
Basic	Write gradient descent weight update.	w += eta * X.T.dot(y - output) / n	chapter02::code
Basic	Write code to standardize a feature.	x_std = (x - x.mean()) / x.std()	chapter02::code
Basic	Write code to shuffle training data.	idx = np.random.permutation(len(y)); X, y = X[idx], y[idx]	chapter02::code
Basic	How to update weights in SGD for one sample?	w += eta * (y_i - output_i) * x_i	chapter02::code
Basic	Write code to track errors per epoch.	errors_.append((y != predictions).sum())	chapter02::code
