Type	Front	Back	Tags
Basic	Who coined the term "regression"?	Francis Galton	chapter01::regression
Basic	When was the term "regression" coined?	In 1886, in an article about hereditary stature	chapter01::regression
Basic	What is the goal of reinforcement learning?	To develop a system (agent) that improves its performance based on interactions with the environment	chapter01::reinforcement-learning
Cloze	In reinforcement learning, the system that learns is called an {{c1::agent}}		chapter01::reinforcement-learning
Cloze	In reinforcement learning, the agent interacts with the {{c1::environment}}		chapter01::reinforcement-learning
Cloze	In reinforcement learning, feedback comes in the form of a {{c1::reward signal}} rather than correct ground truth labels		chapter01::reinforcement-learning
Basic	How does an agent learn in reinforcement learning?	Through exploratory trial-and-error or deliberative planning, learning actions that maximize reward	chapter01::reinforcement-learning
Basic	Give an example of reinforcement learning.	A chess program where the agent decides moves based on board state and receives win/lose reward at game end	chapter01::reinforcement-learning
Cloze	{{c1::Unsupervised learning}} deals with {{c2::unlabeled}} data or data of unknown structure		chapter01::unsupervised-learning
Basic	What is the key difference between supervised and unsupervised learning?	Supervised uses labeled data with known outcomes; unsupervised works with unlabeled data to discover hidden structure	chapter01::unsupervised-learning
Cloze	{{c1::Clustering}} is an unsupervised technique that organizes data into meaningful {{c2::subgroups}}		chapter01::clustering
Basic	Why is clustering sometimes called "unsupervised classification"?	Because it groups similar objects without predefined labels, similar to classification but without known categories	chapter01::clustering
Basic	Give a practical application of clustering.	Marketers discovering customer groups based on interests to develop distinct marketing programs	chapter01::clustering
Cloze	{{c1::Dimensionality reduction}} compresses data onto a smaller dimensional subspace while retaining most of the {{c2::relevant information}}		chapter01::dimensionality-reduction
Basic	What is one benefit of dimensionality reduction?	Less storage space is required	chapter01::dimensionality-reduction
Basic	What is another benefit of dimensionality reduction?	Learning algorithms can run much faster	chapter01::dimensionality-reduction
Basic	How can dimensionality reduction improve model performance?	It can remove noise from data when the dataset contains many irrelevant features	chapter01::dimensionality-reduction
Cloze	A {{c1::training example}} (observation, record, instance, sample) represents one {{c2::row}} in a dataset		chapter01::terminology
Cloze	A {{c1::feature}} (predictor, variable, input, attribute) represents one {{c2::column}} in a data table		chapter01::terminology
Cloze	The {{c1::target}} variable is synonymous with outcome, output, response variable, dependent variable, and ground truth		chapter01::terminology
Cloze	A {{c1::loss function}} (cost function, error function) measures how well the model's predictions match the actual values		chapter01::terminology
Basic	What is the difference between "loss" and "cost" in some ML literature?	Loss refers to error for a single data point; cost computes the loss (average or summed) over the entire dataset	chapter01::terminology
Cloze	In ML notation, superscript {{c1::i}} refers to the ith training example		chapter01::notation
Cloze	In ML notation, subscript {{c1::j}} refers to the jth dimension (feature)		chapter01::notation
Basic	How many Iris flowers are in the Iris dataset?	150	chapter01::iris-dataset
Basic	How many species are in the Iris dataset?	Three: Setosa, Versicolor, and Virginica	chapter01::iris-dataset
Basic	What are the three species in the Iris dataset?	Setosa, Versicolor, and Virginica	chapter01::iris-dataset
Basic	What features are measured in the Iris dataset?	Sepal length, sepal width, petal length, and petal width (all in centimeters)	chapter01::iris-dataset
Basic	What is step 1 in a typical machine learning workflow?	Raw data collection	chapter01::ml-workflow
Basic	What is step 2 in a typical machine learning workflow?	Preprocessing the data	chapter01::ml-workflow
Basic	What is step 3 in a typical machine learning workflow?	Training/test split	chapter01::ml-workflow
Basic	What is step 4 in a typical machine learning workflow?	Model training with cross-validation	chapter01::ml-workflow
Basic	What is step 5 in a typical machine learning workflow?	Model evaluation	chapter01::ml-workflow
Basic	What is step 6 in a typical machine learning workflow?	Prediction on new data	chapter01::ml-workflow
Basic	Why is preprocessing one of the most crucial steps in machine learning?	Raw data rarely comes in the form needed for optimal algorithm performance	chapter01::preprocessing
Cloze	Feature scaling often transforms features to the range {{c1::[0, 1]}} or a standard normal distribution		chapter01::preprocessing
Cloze	Standard normal distribution for feature scaling has {{c1::zero mean and unit variance}}		chapter01::preprocessing
Basic	Why might we want to reduce the dimensionality of features before training?	To reduce storage requirements, speed up learning algorithms, and improve performance by removing noise	chapter01::preprocessing
Basic	Why do we split data into training and test sets?	To determine if the model not only performs well on training data but also generalizes well to unseen data	chapter01::model-evaluation
Cloze	The {{c1::test dataset}} should be kept until the very end and used only for {{c2::final model evaluation}}		chapter01::model-evaluation
Basic	What is the "No Free Lunch" theorem in machine learning?	No single learning algorithm is superior to all others - each has inherent biases	chapter01::model-selection
Basic	What does the No Free Lunch theorem imply for practitioners?	We must compare different algorithms for each specific task	chapter01::model-selection
Cloze	{{c1::Classification accuracy}} is defined as the proportion of {{c2::correctly classified instances}}		chapter01::model-evaluation
Cloze	{{c1::Cross-validation}} divides a dataset into training and validation subsets to estimate {{c2::generalization performance}}		chapter01::model-evaluation
Cloze	{{c1::Hyperparameters}} are parameters not learned from data but represent the knobs of a model we can turn to improve performance		chapter01::hyperparameters
Basic	What is the generalization error?	A measure of how well a trained model performs on unseen test data	chapter01::model-evaluation
Basic	Why must preprocessing parameters be obtained only from training data?	Using test data would make performance estimates overly optimistic - same parameters must be reapplied to test and new data	chapter01::preprocessing
Cloze	{{c1::scikit-learn}} is a popular open-source library for traditional machine learning in Python		chapter01::python-tools
Cloze	{{c1::PyTorch}} is a library that specializes in training deep neural networks efficiently using {{c2::graphics cards}}		chapter01::python-tools
Cloze	{{c1::NumPy}} provides multidimensional arrays for storing and manipulating data, with fast vectorized operations		chapter01::python-tools
Cloze	{{c1::pandas}} is built on top of NumPy and provides higher-level data manipulation tools for {{c2::tabular data}}		chapter01::python-tools
Basic	What is deep learning in relation to machine learning?	Deep learning is a subfield of machine learning that focuses on training deep neural network models	chapter01::deep-learning
Basic	Give one real-world application of machine learning.	Email spam filtering	chapter01::ml-applications
Basic	Give another real-world application of machine learning.	Voice and text recognition	chapter01::ml-applications
Basic	Give a medical application of machine learning.	Medical diagnosis such as skin cancer detection	chapter01::ml-applications
Cloze	DeepMind's AlphaFold used {{c1::deep learning}} to predict {{c2::3D protein structures}}		chapter01::ml-applications
Basic	What is precision agriculture?	A field using computer vision-based ML systems to optimize resource deployment and minimize fertilizer use	chapter01::ml-applications
